Subject Number,Stimulus Feature,Congruency,Key Press,Reaction Time,Accuracy
1,3,2,1,0.57726,1
1,3,2,1,0.47258,1
1,3,2,1,0.45211,1
1,1,2,2,1.1759,1
1,2,2,1,0.95484,1
1,2,2,1,0.53655,1
1,2,2,1,0.61053,1
1,2,2,1,0.47315,1
1,1,2,2,0.63401,1
1,3,2,1,0.66492,1
1,2,2,1,1.1006,1
1,4,2,2,0.54947,1
1,3,2,1,0.64352,1
1,4,2,2,0.56832,1
1,4,2,2,0.59291,1
1,2,2,1,1.687,1
1,2,2,1,0.49884,1
1,1,2,2,1.0428,1
1,2,2,1,0.71334,1
1,3,2,1,0.67045,1
1,2,2,1,0.63617,1
1,2,2,1,0.60312,1
1,4,2,2,0.53601,1
1,3,2,1,0.90179,1
1,3,2,1,0.46883,1
1,2,2,2,0.4874,0
1,4,2,2,0.44279,1
1,3,2,1,0.64017,1
1,2,2,1,0.86317,1
1,2,2,1,0.50995,1
1,2,2,1,0.49383,1
1,3,2,1,0.90586,1
1,2,2,1,0.46267,1
1,2,2,1,0.47645,1
1,3,2,1,0.64839,1
1,2,2,1,0.48521,1
1,1,2,2,0.64015,1
1,3,2,1,0.73193,1
1,3,2,1,0.49367,1
1,1,2,1,0.56873,0
1,1,2,2,0.83528,1
1,1,2,2,0.67807,1
1,4,2,2,0.83381,1
1,4,2,2,0.52085,1
1,3,2,1,0.57856,1
1,4,2,2,0.59847,1
1,2,2,1,0.98014,1
1,4,2,2,0.68226,1
1,1,2,2,0.8871,1
1,1,2,2,0.49878,1
1,1,2,2,0.57984,1
1,2,2,1,0.9627,1
1,3,2,1,0.62251,1
1,2,2,2,0.62237,0
1,2,2,1,0.63035,1
1,2,2,1,0.48511,1
1,1,2,2,0.62098,1
1,2,2,1,0.72974,1
1,4,2,2,0.60954,1
1,1,2,2,0.75151,1
1,4,2,2,0.57727,1
1,3,2,1,0.64117,1
1,3,2,1,0.53275,1
1,1,2,2,0.95187,1
1,4,2,2,0.55371,1
1,3,2,1,0.64955,1
1,1,2,1,0.51538,0
1,2,2,1,0.98928,1
1,3,2,1,0.52604,1
1,2,2,1,1.08,1
1,1,2,2,0.57168,1
1,2,2,1,0.53773,1
1,1,2,2,1.1034,1
1,3,2,1,0.61236,1
1,4,2,2,0.60733,1
1,1,2,2,0.83305,1
1,3,2,1,1.0319,1
1,1,2,1,0.53158,0
1,4,2,2,0.55564,1
1,3,2,1,0.6995,1
1,4,2,2,0.64742,1
1,1,2,2,0.89922,1
1,4,2,2,0.57298,1
1,1,2,1,0.76694,0
1,4,2,2,0.56577,1
1,4,2,2,0.56179,1
